The Knight in Rusty Armor,0879804211,9780879804213,3.66
"The Mandalorian Armor (Star Wars: The Bounty Hunter Wars, #1)",0553506013,9780553506013,3.60
Vampiros,8401461138,9788401461132,3.76
The Deer Leap (Richard Jury #7),0451411870,9780451411877,3.87
Help the Poor Struggler (Richard Jury #6),0451411730,9780451411730,3.98
"DIARY OF AN OLD CONTEMPTIBLE: From Mons to Baghdad 1914-1919; Private Edward Roe, East Lancashire Regiment",1844151352,9781844151356,3.50
Inconstant Moon,0722164084,9780722164082,4.04
"The Case Is Altered (Antony Maitland, #12)",9997520742,9789997520746,3.50
Insomnia,0670855030,9780670855032,3.78
Dolores Claiborne/Insomnia/Rose Madder,0451935594,9780451935595,4.27
Insomnia,0762895780,9780762895786,3.78
Rainbows End,0812536363,9780812536362,3.75
"Hellboy: Weird Tales, Vol. 2 (Hellboy: Weird Tales, #2)",1569719535,9781569719534,4.29
Rainbow's End,0517173182,9780517173183,3.78
"The End of the Rainbow (Hudson, #4)",0743409167,9780743409162,3.82
Rainbow's End: The Judy Garland Show,0821737082,9780821737088,4.34
Rivals of Weird Tales: 30 Great Fantasy and Horror Stories from the Weird Fiction Pulps,0517693313,9780517693315,4.05
"Hellboy, Vol. 3: The Chained Coffin and Others (Hellboy, #3)",1593070918,9781593070915,4.21
"Hellboy, Vol. 5: Conqueror Worm (Hellboy, #5)",1593070926,9781593070922,4.34
"The Art of Hellboy (Hellboy Artbook, #1)",1593070896,9781593070892,4.42
"Love You, Soldier",0763609439,9780763609436,3.77
"The Stargazey (Richard Jury, #15)",0451408977,9780451408976,3.90
"The Lamorna Wink (Richard Jury, #16)",074726841X,9780747268413,3.87
"The Blue Last (Richard Jury, #17)",0451410556,9780451410559,4.01
Thoughtstorm: Exploring Collective Consciousness,0962687413,9780962687419,0.00
"H is for Homicide (Kinsey Millhone, #8)",044900063X,9780449000632,3.88
The Sagas of Icelanders,0965477703,9780965477703,4.29
Tales of the Dead,0517618184,9780517618189,3.46
From Narnia to a Space Odyssey: The War of Ideas Between Arthur C. Clarke and C.S. Lewis,0743475186,9780743475181,3.29
Golem: Jewish Magical And Mystical Traditions On The Artificial Anthropoid,079140160X,9780791401606,4.43
The Mysterious Stranger,1573920398,9781573920391,4.15
Dagon and Other Macabre Tales,0870540394,9780870540394,4.26
Dagon and Other Macabre Tales (The H.P. Lovecraft Omnibus #2),0586063242,9780586063248,4.26
The Scarlett Letter,1573353906,9781573353908,3.36
The Scarlet Letter by Nathaniel Hawthorne Study Guide,0137169868,9780137169863,3.44
Selected Letters V: 1934-1937,087054036X,9780870540363,4.36
What Are You Looking At?: The First Fat Fiction Anthology,0156029073,9780156029070,3.28
"Great captains: The art of war in the campaigns of Alexander, Hannibal, Caesar, Gustavus Adolphus, Frederick the Great, and Napoleon",1566198550,9781566198554,4.11
Growing Up with the Norman Conquest,0394912063,9780394912066,0.00
The Nine Emotional Lives of Cats,073668798X,9780736687980,3.69
The Nine Emotional Lives of Cats: A Journey into the Feline Heart,0345448839,9780345448835,3.69
The Three Stigmata Of Palmer Eldritch,0553105868,9780553105865,4.01
The Diviners,0226469352,9780226469355,4.16
The Sheep-Pig,0435123084,9780435123086,4.04
Dr. Bloodmoney or How We Got Along after the Bomb,0441156703,9780441156702,3.69
Night Shift (Silhouette Sensation),0373588585,9780373588589,3.95
"Night Shift / Night Shadow (Night Tales, #1 & 2)",0373285108,9780373285105,3.92
"Graveyard Shift, and Other Stories from Night Shift",0553472453,9780553472455,4.02
"A Boy Called Simon (Heartlines, #9)",0440910943,9780440910947,2.33
"Catilina's Riddle (Roma Sub Rosa, #3)",0312982119,9780312982119,4.08
"Last Seen in Massilia (Roma Sub Rosa, #8)",184119431X,9781841194318,4.06
Honour the Dead,1841195650,9781841195650,3.73
"A Murder on the Appian Way (Roma Sub Rosa, #5)",1854878913,9781854878915,4.09
What We Talk About When We Talk About Love,0099449846,9780099449843,4.23
Bitter Fruit: The Story of the American Coup in Guatemala,067401930X,9780674019300,4.18
One Past Midnight: The Langoliers,0453007449,9780453007443,3.82
Another Day of Life,014118678X,9780141186788,4.14
Rules for Radicals: A Pragmatic Primer for Realistic Radicals,0679721134,9780679721130,3.78
Totally Garlic Cookbook,0890877254,9780890877258,3.48
"The Song of Celestine: Inspired by ""The Celestine Prophecy""",0316739235,9780316739238,3.96
"A Quest for Simbilis (The Dying Earth, #2.5)",0586065490,9780586065495,3.58
